facility_id,facility_name,facility_type,district,latitude,longitude,crs,risk_level,pred_outage_prob_24h,pred_human_impact_prob_24h,priority_score_24h,predicted_risk_label_24h
node/6965836216,Matra Smriti Hospital,Hospital,RAIPUR,21.2686163,81.6197897,0.4781826078822488,Medium,0.020861845892869393,0.00015824063063099564,0.017764770840100003,Low
node/6965834156,Devkripa Hospital and Doctor Plaza,Hospital,RAIPUR,21.2510058,81.6685317,0.4781826078822488,Medium,0.020861432791128218,0.00015824063063099564,0.017445239061803293,Low
node/6957503647,"Pathak Hospital, Raipur",Hospital,RAIPUR,21.264633,81.6358182,0.4781826078822488,Medium,0.020861253386600245,0.00015824063063099564,0.016401971124795467,Low
node/6968280740,"Kanwar Hospital, Raipur",Hospital,RAIPUR,21.2532719,81.6651843,0.4781826078822488,Medium,0.02085984659277715,0.00015824063063099564,0.016031832940949033,Low
node/6957120034,Urmila Memorial Multispeciality Hospital,Hospital,RAIPUR,21.2582818,81.6553302,0.4781826078822488,Medium,0.02085593590289912,0.00015824063063099564,0.015966488547177745,Low
node/6956629791,Prannath Mission Hospital,Hospital,RAIPUR,21.2647055,81.6395652,0.4781826078822488,Medium,0.020821723140825414,0.0001585807352938141,0.015792952234072392,Low
node/4445258453,MGM school,School,RAIPUR,21.2515714,81.6704839,0.4781826078822488,Medium,0.020819169875570278,0.00015850240108791566,0.01573535853492611,Low
node/4711002386,Mittal Hospital,Hospital,RAIPUR,21.260362,81.6587146,0.4781826078822488,Medium,0.020814774368636397,0.00015850240108791566,0.015482289312557147,Low
node/4445382462,Ryan International School,School,RAIPUR,21.2474275,81.6883917,0.4781826078822488,Medium,0.020814774368636397,0.00015850240108791566,0.015436405562253107,Low
node/4445182024,Holy cross senior secondary school,School,RAIPUR,21.2617556,81.6602541,0.4781826078822488,Medium,0.020814774368636397,0.00015850240108791566,0.015436405562253107,Low
node/6957120077,Sobhagya Hospital,Hospital,RAIPUR,21.2740474,81.6335745,0.4781826078822488,Medium,0.020814445245380047,0.00015850240108791566,0.014793446801129664,Low
node/6956627645,"Samarpan Hospital, Raipur",Hospital,RAIPUR,21.2650092,81.6679336,0.4781826078822488,Medium,0.020814445245380047,0.00015850240108791566,0.014771864884575804,Low
node/6965834116,Ayush Hospital and Maternity Home,Hospital,RAIPUR,21.2623121,81.6739498,0.4781826078822488,Medium,0.020814445245380047,0.0001606286827336002,0.014767060240380795,Low
node/6966792004,Evangelical Mission Hospital,Hospital,RAIPUR,21.5540159,81.7903335,0.3943011502265597,High,0.02083535908745514,0.0008655862141748708,0.014743815089961245,Low
node/7148125312,Labhandhi Government Hospital,Hospital,RAIPUR,21.244877,81.703673,0.4781826078822488,Medium,0.020814445245380047,0.00016362404599184737,0.014717023180313834,Low
node/6956627669,Raipur Institute Of Medical Sciences Hospital,Hospital,RAIPUR,21.2419875,81.8368053,0.375,High,0.020833579901945374,0.0009897998405443745,0.014699026190140168,Low
node/6956655152,Sarvodaya Hospital and Maternity Center,Hospital,RAIPUR,21.2715555,81.6710436,0.4781826078822488,Medium,0.020814445057361693,0.00016362404599184737,0.014681587229950213,Low
node/6965497689,P D Jethani Memorial Hospital and Diagnostic Center,Hospital,RAIPUR,21.2789978,81.6376406,0.4781826078822488,Medium,0.020814445057361693,0.00016362404599184737,0.014681587229950213,Low
node/7736593775,Shri Venkatesh School,School,RAIPUR,21.2783652,81.6748896,0.4781826078822488,Medium,0.020814445057361693,0.00016165654908617552,0.014681242917991721,Low
node/6957133287,Shri Balaji Institute Of Medical Science Pvt Ltd,Hospital,RAIPUR,21.2724251,81.6717492,0.4781826078822488,Medium,0.020814445057361693,0.0001615376696007566,0.014681222114081773,Low
node/12276858430,"Campion School, Raipur",School,RAIPUR,21.2878259,81.7170313,0.375,High,0.020796677359993868,0.001081512041647387,0.01395898655316388,Low
node/7148125257,Goverment hospital Gobra Nawapara,Hospital,RAIPUR,20.9675515,81.8588705,0.375,High,0.02079520196399515,0.0010830254128495035,0.013928176371916729,Low
node/7148125120,Government Hospital Uparwara,Hospital,RAIPUR,21.117467,81.764341,0.4519539567843054,Medium,0.02079688779101187,0.0005800207446799765,0.013873936401113658,Low
